This file was created using the 202606 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19691009,   0.03,   0.59,   0.52,   0.15,   0.44,  -0.06,   0.52,   0.10,   0.61,   0.67
19691010,   1.61,   0.63,   0.68,   1.69,   0.48,   0.38,   0.54,   0.53,   0.46,   0.80
19691013,   3.11,   1.89,   2.52,   1.76,   1.41,   0.86,   0.88,   1.30,   0.68,   1.53
19691014,   3.10,   1.86,   2.31,   1.79,   0.60,   1.64,   1.11,   1.48,   0.96,   0.85
19691015,   0.22,   0.44,  -0.32,   0.21,   0.42,   0.50,   0.17,  -0.06,  -0.14,  -0.12
19691016,   1.43,   0.44,   0.98,   0.71,   0.80,   0.77,   0.32,   0.76,   0.41,   1.05
19691017,   0.67,  -0.26,  -0.10,   0.07,   0.02,  -0.16,  -0.13,  -0.24,  -0.07,   0.15
19691020,   0.43,   0.69,   0.97,   0.21,   0.08,  -0.48,   0.05,   0.57,   0.52,   0.28
19691021,   1.28,   0.75,   1.20,   0.62,   0.01,   0.62,   0.94,   0.77,   1.09,   0.66
19691022,   1.41,   0.66,   0.66,   0.78,   1.25,   0.77,   0.40,   0.80,   0.10,   0.86
19691023,  -0.59,  -1.08,  -0.71,  -0.67,  -0.17,   0.31,  -0.54,  -0.27,  -0.18,  -0.29
19691024,   0.41,   1.21,   0.70,   0.12,   0.44,   0.43,   0.40,   0.58,   1.41,   0.82
19691027,  -0.04,   0.57,  -0.06,  -0.30,  -0.31,  -0.14,  -0.32,  -0.17,   0.02,   0.25
19691028,  -0.43,  -0.50,  -0.69,  -0.21,  -0.08,  -0.88,   0.46,  -0.36,  -0.29,  -0.43
19691029,  -1.44,  -1.45,  -1.22,  -1.12,  -0.63,  -0.57,  -0.74,  -0.86,  -0.83,  -0.95
19691030,   0.73,   1.00,   0.56,   0.20,  -0.15,   0.40,   0.07,  -0.09,   0.34,  -0.05
19691031,   0.47,   0.75,   0.50,   0.57,   0.37,   0.28,   0.67,  -0.10,   0.55,   0.03
19691103,  -0.50,  -0.27,   0.14,   0.35,   0.09,   0.29,  -0.15,  -0.05,  -0.14,  -0.28
19691104,   0.13,   0.13,   0.75,  -0.12,   0.06,  -0.09,   0.11,  -0.12,   0.04,   0.49
19691105,   0.47,   0.68,   0.80,   0.59,   0.36,   0.35,   0.16,   0.58,   0.46,   0.83
19691106,  -0.02,  -0.12,   0.18,  -0.06,   0.08,  -0.09,  -0.21,   0.73,   0.31,   0.38
19691107,   0.14,   1.08,   0.30,   0.32,   0.82,   0.58,  -0.05,   1.60,   0.69,   0.68
19691110,  -0.25,  -0.19,   0.20,   0.42,   0.20,   0.17,   0.19,  -0.16,   0.17,   0.02
19691111,  -0.63,  -0.31,  -0.85,  -0.49,  -0.36,  -0.26,  -0.10,   0.01,  -0.26,  -0.81
19691112,  -0.13,   0.36,  -0.26,  -0.41,  -0.25,  -0.08,  -0.33,  -0.28,  -0.11,   0.17
19691113,  -0.84,  -0.72,  -1.05,  -0.98,  -0.97,  -0.50,  -0.60,   0.29,  -0.75,  -0.42
19691114,  -1.02,  -0.78,  -0.54,  -0.33,  -0.86,  -0.22,  -0.65,   0.06,  -0.22,  -0.64
19691117,  -1.34,  -1.46,  -0.65,  -0.84,  -0.75,  -0.81,  -0.59,  -1.26,  -0.67,  -0.25
19691118,   0.40,  -0.33,  -0.17,   0.10,   0.04,  -0.27,  -0.01,  -0.25,  -0.04,   0.11
19691119,  -0.92,  -0.58,  -0.62,  -0.94,  -0.31,  -0.30,  -0.56,  -0.10,  -0.79,  -0.62
19691120,  -1.89,  -1.10,  -1.09,  -1.28,  -1.27,  -0.99,  -1.25,  -0.63,  -1.04,  -1.17
19691121,  -1.10,  -1.34,  -0.53,  -0.34,  -0.67,  -0.50,  -0.62,  -0.42,  -0.88,  -0.55
19691124,  -1.19,  -1.75,  -1.30,  -1.39,  -1.34,  -1.16,  -0.87,  -0.89,  -1.15,  -0.57
19691125,  -0.10,  -0.33,  -0.36,  -0.24,  -0.74,  -0.72,  -0.53,  -0.17,   0.10,   0.25
19691126,   0.21,   0.10,   0.51,  -0.17,   0.34,   0.09,  -0.41,   0.71,   0.76,   0.89
19691128,   1.09,   0.68,   1.09,  -0.05,   0.81,   0.27,   0.09,   0.09,   1.09,   1.27
19691201,  -1.85,  -1.87,  -1.43,  -1.23,  -1.06,  -0.67,  -0.89,  -0.25,  -0.27,  -0.31
19691202,  -1.39,  -1.31,  -1.26,  -0.92,  -0.40,  -0.59,  -0.51,  -0.63,  -0.64,  -0.38
19691203,  -2.34,  -2.39,  -1.58,  -1.50,  -1.53,  -1.77,  -1.01,  -0.97,  -0.66,  -0.80
19691204,   0.68,   0.99,   0.02,   0.35,   0.18,   0.29,   0.05,   0.27,   0.46,   1.04
19691205,  -1.00,  -1.38,  -0.32,  -0.97,   0.05,  -0.41,  -0.10,  -0.11,  -0.19,  -0.56
19691208,  -2.40,  -1.93,  -2.47,  -1.95,  -1.55,  -1.60,  -1.04,  -0.97,  -0.64,  -0.96
19691209,  -0.78,  -0.59,  -0.67,  -0.61,  -0.15,  -0.17,  -0.47,  -0.17,   0.12,   0.18
19691210,   0.03,  -0.74,  -0.14,  -0.35,   0.02,   0.01,  -0.14,  -0.31,   0.00,   0.42
19691211,  -0.19,  -0.06,   0.18,  -0.28,   0.30,  -0.13,  -0.09,   0.29,   0.16,  -0.02
19691212,   0.75,   0.33,   0.34,   0.11,   0.15,   0.18,  -0.39,   0.49,   0.50,   0.46
19691215,  -0.35,  -0.59,   0.00,   0.16,  -0.31,  -0.37,  -0.19,  -0.19,  -0.19,  -0.49
19691216,  -1.60,  -1.46,  -1.18,  -0.27,  -1.44,  -0.67,  -1.04,  -1.19,  -0.47,  -0.91
19691217,  -1.12,  -0.33,  -0.07,  -0.36,  -0.75,  -0.44,  -0.51,  -0.72,  -0.47,  -0.33
19691218,   2.59,   1.63,   1.58,   1.01,   1.44,   0.89,   1.07,   2.22,   1.09,   2.07
19691219,   1.17,   1.03,   1.57,   1.38,   0.92,   0.83,   0.95,   0.77,   0.46,   0.82
19691222,  -2.47,  -2.00,  -1.13,  -0.63,  -0.91,  -0.95,  -0.91,  -0.89,  -1.13,  -0.47
19691223,  -1.09,  -1.27,  -0.66,  -1.48,  -0.35,  -0.13,  -0.07,   0.22,  -0.51,  -0.66
19691224,   3.75,   2.75,   1.98,   2.49,   1.83,   1.14,   1.20,   0.92,   0.60,   0.72
19691226,   1.86,   2.00,   0.97,   1.35,   0.77,   1.13,   0.45,   0.55,   0.92,   0.37
19691229,  -2.60,  -1.78,  -1.11,  -0.72,  -1.11,  -0.86,  -0.47,  -0.45,  -0.48,  -0.55
19691230,   0.02,  -0.13,   0.04,   0.56,   0.35,   0.47,   0.19,   0.56,   0.79,   0.25
19691231,   0.80,   0.92,   0.36,   0.65,   0.71,  -0.15,   0.78,   0.92,   0.19,   0.91
19700102,   5.73,   3.70,   2.79,   1.69,   2.42,   1.37,   1.26,   1.45,   0.49,   0.00
19700105,   2.01,   1.84,   0.88,   1.32,   1.02,   0.91,   0.42,   0.78,  -0.27,   0.41
19700106,  -1.28,  -1.25,  -0.83,  -1.08,  -0.97,  -0.72,  -0.94,  -0.66,  -0.63,  -0.38
19700107,   0.14,  -0.11,  -0.39,  -0.55,  -0.28,  -0.47,  -0.20,  -0.45,  -0.08,   0.34
19700108,   0.01,  -0.15,  -0.48,  -0.83,   0.37,   0.21,   0.41,  -0.38,   0.25,   0.39
19700109,  -0.67,  -0.96,  -0.79,  -1.31,  -0.54,  -0.20,  -0.38,  -0.19,  -0.10,   0.20
19700112,  -1.72,  -1.69,  -1.32,  -0.72,  -0.65,  -0.62,  -0.73,  -1.12,  -0.78,  -0.29
19700113,  -0.03,  -0.35,  -0.87,  -0.30,  -0.57,  -0.17,  -0.07,  -0.15,   0.05,   1.04
19700114,  -1.03,  -0.88,  -1.15,  -0.42,  -0.64,  -0.60,  -0.28,   0.17,   0.13,   0.06
19700115,  -0.28,   0.25,  -0.81,  -0.22,  -0.59,  -0.54,  -0.45,  -0.55,   0.11,   1.03
19700116,  -0.99,  -1.18,  -0.87,  -0.88,  -1.06,  -0.34,  -0.59,  -0.55,  -0.26,  -1.30
19700119,  -0.87,  -0.73,  -1.21,  -1.06,  -0.27,  -0.61,  -0.71,  -1.00,  -1.01,  -2.71
19700120,   0.12,   0.09,   0.40,  -0.04,  -0.05,   0.05,  -0.06,   0.07,  -0.34,   1.00
19700121,   0.17,   0.49,  -0.16,   0.36,   0.03,  -0.03,  -0.06,   0.24,   0.05,   0.09
19700122,  -0.46,   0.43,   0.59,  -0.17,   0.70,  -0.12,   0.01,   0.00,   0.12,   0.23
19700123,  -2.47,  -1.64,  -2.19,  -1.57,  -1.65,  -0.75,  -0.82,  -1.30,  -0.55,  -0.78
19700126,  -1.99,  -1.37,  -1.22,  -1.27,  -0.78,  -0.75,  -0.65,  -0.85,  -0.73,  -1.67
19700127,  -0.52,  -0.90,  -0.62,  -0.81,  -0.85,  -0.81,  -0.62,  -0.63,  -0.45,  -0.68
19700128,  -0.65,  -1.37,  -0.66,  -0.90,  -1.30,  -1.56,  -0.80,  -1.20,  -0.14,  -1.09
19700129,  -1.73,  -1.49,  -1.57,  -1.02,  -1.93,  -1.43,  -1.29,  -0.71,  -1.37,  -1.31
19700130,  -0.66,  -0.66,  -0.48,  -0.86,  -1.13,  -0.74,  -0.79,  -0.18,  -1.41,  -1.08
19700202,   0.51,   1.22,   0.85,   0.46,   1.20,   0.16,   0.98,   1.05,   0.37,   1.38
19700203,   1.83,   1.18,   1.59,   1.90,   1.40,   0.36,   1.30,   1.08,   1.87,   1.24
19700204,  -2.08,  -1.86,  -1.03,  -0.52,  -0.79,  -0.15,  -0.64,  -0.20,  -0.33,  -1.16
19700205,  -1.74,  -0.70,  -0.45,  -1.17,  -0.79,  -0.62,  -0.61,  -0.17,  -0.32,   0.17
19700206,   1.14,   0.43,   0.66,   0.40,  -0.07,   0.40,   0.51,   0.32,   0.83,   1.05
19700209,  -0.10,   0.41,   0.18,   0.43,   0.81,   0.48,   0.95,   0.95,   0.80,   1.31
19700210,  -1.51,  -0.78,  -1.56,  -1.12,  -0.94,  -1.51,  -0.75,  -0.35,  -0.75,  -0.81
19700211,   1.22,   0.67,   0.65,   0.19,   0.27,   0.53,   0.86,   0.81,   0.64,   1.73
19700212,   1.49,  -0.47,  -0.41,  -0.17,  -0.58,  -0.20,   0.00,  -0.01,  -0.20,  -0.23
19700213,  -1.09,  -0.36,  -0.36,  -0.10,  -0.13,  -0.65,  -0.09,   0.91,   0.20,  -0.60
19700216,  -0.83,   0.09,  -0.24,   0.47,  -0.58,   0.39,   0.18,  -0.16,   0.20,  -0.13
19700217,  -0.68,  -0.89,  -0.74,  -0.51,  -0.18,   0.08,  -0.10,   0.00,  -0.25,  -0.01
19700218,   1.64,   1.83,   2.01,   1.79,   1.18,   1.98,   2.01,   0.76,   0.77,   0.69
19700219,   0.51,   0.52,   1.18,   1.05,   0.63,   0.99,   0.30,   0.23,  -0.32,  -0.04
19700220,   0.30,   0.72,   1.70,   1.18,   1.12,   0.73,  -0.45,   0.55,  -0.22,  -0.44
19700224,  -0.38,   0.79,   0.40,   1.02,   0.60,   0.20,   0.27,   0.06,  -0.33,  -0.65
19700225,   3.12,   1.58,   2.02,   1.42,   2.21,   2.16,   1.94,   1.39,   1.40,   0.80
19700226,  -0.83,   0.11,  -0.89,  -0.53,  -0.75,  -0.48,  -0.59,  -0.12,  -0.28,  -0.90
19700227,   1.12,   0.97,   1.20,   0.54,   0.54,   1.23,   1.18,   0.95,   0.33,   0.34
19700302,  -0.07,   0.32,   0.35,  -0.06,   0.12,   1.09,   0.88,   0.64,  -0.28,  -0.33
19700303,   1.38,   0.47,   0.46,   0.50,   0.91,   0.77,   1.08,   1.18,   0.22,   0.26
19700304,  -0.49,   0.08,  -1.30,   0.23,   0.25,   0.14,   0.62,  -0.02,  -0.19,  -0.89
19700305,   0.61,   0.25,   0.21,   0.48,  -0.17,   0.52,   0.53,   0.22,  -0.36,  -0.71
19700306,  -1.54,  -1.03,  -1.00,  -0.49,  -0.59,  -0.65,  -0.21,  -0.45,  -0.74,  -0.65
19700309,  -1.13,  -0.92,  -1.02,  -0.97,  -0.96,  -0.86,  -0.85,  -0.67,  -1.04,  -1.58
19700310,  -0.34,  -0.52,  -0.09,   0.76,  -0.32,   0.12,  -0.39,   0.00,   0.10,   0.82
19700311,  -0.38,   0.08,  -0.11,   0.29,  -0.63,  -0.18,   0.10,   0.16,  -0.54,  -0.05
19700312,  -1.19,  -0.43,   0.11,  -0.70,  -0.54,  -0.65,  -0.26,   0.01,  -0.60,  -0.63
19700313,  -0.82,  -0.06,  -0.68,  -0.20,  -0.51,  -0.05,  -0.40,  -0.12,  -0.77,  -1.26
19700316,  -1.59,  -1.42,  -1.28,  -1.10,  -1.02,  -1.06,  -0.64,  -1.32,  -0.85,  -1.36
19700317,   0.32,   0.52,   0.16,   0.34,   0.57,   0.30,  -0.02,   0.14,   0.56,   0.86
19700318,  -0.06,   0.51,   0.33,   0.49,   0.40,   0.28,   0.24,   0.08,   0.20,   0.52
19700319,  -0.88,   0.22,  -0.19,  -1.05,  -0.48,  -0.39,  -0.03,   0.13,  -0.29,  -0.48
19700320,  -0.97,  -0.55,  -0.32,  -0.04,  -0.69,  -0.22,  -0.20,  -0.21,  -0.88,  -0.62
19700323,   0.11,  -0.38,  -0.69,  -0.31,  -0.06,  -0.34,  -0.29,   0.17,   0.19,  -0.23
19700324,   0.84,   0.71,   0.71,   1.06,   0.92,   1.02,   1.12,   0.77,   1.38,   1.07
19700325,   2.94,   3.62,   2.53,   2.60,   2.34,   2.29,   2.49,   1.75,   1.57,   2.17
19700326,   0.30,   0.07,  -0.12,   0.23,   0.08,   0.06,   0.22,   0.27,   0.10,   0.07
19700330,  -0.56,  -0.56,  -0.24,  -0.38,  -0.26,  -0.49,  -0.81,   0.16,  -0.20,   0.11
19700331,  -0.67,  -0.62,  -0.52,   0.12,  -0.01,  -0.08,   0.09,   0.11,   0.27,  -0.09
19700401,   0.32,   0.77,   0.49,   0.12,   0.29,   0.66,   0.37,   0.60,   0.28,   0.86
19700402,  -0.92,  -0.24,  -0.29,   0.03,   0.16,  -0.31,   0.00,  -0.32,  -0.68,  -0.65
19700403,  -0.74,  -0.42,   0.05,  -0.22,   0.22,  -0.20,  -0.19,  -0.24,  -0.85,  -1.00
19700406,  -1.69,  -0.42,  -0.63,  -0.60,  -0.78,  -0.93,  -0.45,  -0.52,  -0.86,  -1.36
19700407,  -0.62,  -1.16,  -0.62,  -0.71,   0.10,   0.14,   0.11,  -0.64,  -0.15,  -0.52
19700408,  -0.75,  -0.05,  -0.16,  -0.57,  -0.35,  -0.12,  -0.30,   0.33,  -0.17,  -0.41
19700409,  -0.97,  -0.97,   0.31,  -0.17,   0.25,   0.05,   0.20,  -0.50,   0.16,  -0.21
19700410,  -1.24,  -1.05,  -0.42,  -0.63,  -0.29,  -0.41,  -0.20,  -0.46,  -0.17,  -0.52
19700413,  -1.61,  -1.62,  -0.82,  -1.65,  -0.80,  -0.53,  -0.80,  -0.95,  -0.37,  -1.18
19700414,  -1.73,  -0.64,  -0.54,  -1.51,  -1.03,  -0.31,  -1.30,  -0.62,  -0.75,  -0.62
19700415,  -0.44,   0.14,   0.15,  -0.17,  -0.13,  -0.38,  -0.43,  -0.21,  -0.51,  -0.27
19700416,  -1.45,  -1.47,  -0.83,  -1.73,  -0.60,  -1.03,  -0.88,  -0.74,  -1.12,  -1.50
19700417,  -0.19,  -0.19,   0.32,  -0.85,  -0.52,  -0.92,  -0.18,  -0.30,  -0.46,   0.17
19700420,   0.59,  -0.12,  -0.04,   0.33,  -0.24,  -0.11,   0.23,  -0.02,   0.49,   0.57
19700421,  -1.22,  -1.49,  -0.50,  -0.07,  -0.44,  -0.98,  -0.70,  -0.51,  -0.21,  -0.69
19700422,  -2.93,  -1.43,  -0.86,  -1.08,  -1.67,  -1.20,  -1.19,  -1.22,  -1.68,  -1.52
19700423,  -2.86,  -1.44,  -1.59,  -1.31,  -1.65,  -1.54,  -1.59,  -1.49,  -1.52,  -2.12
19700424,  -0.53,  -0.81,  -0.53,  -0.43,  -1.05,  -0.61,  -0.84,  -0.27,  -0.22,  -0.41
19700427,  -3.19,  -2.50,  -1.79,  -1.86,  -2.25,  -1.88,  -1.19,  -1.31,  -1.94,  -1.82
19700428,  -2.20,  -2.12,  -1.69,  -1.05,  -1.72,  -1.01,  -1.01,  -1.40,  -1.87,  -0.85
19700429,   4.46,   3.46,   2.68,   1.56,   1.57,   1.31,   1.22,   1.56,   2.64,   2.48
19700430,  -1.04,   0.06,  -0.88,  -0.37,  -0.44,  -0.38,  -0.53,  -0.21,  -0.50,  -0.06
19700501,  -0.44,  -0.48,   0.15,  -0.06,  -0.11,   0.16,  -1.05,   0.16,  -0.16,  -0.06
19700504,  -4.12,  -3.39,  -2.23,  -1.92,  -2.38,  -1.97,  -2.76,  -2.09,  -3.18,  -2.80
19700505,  -2.08,  -1.41,  -0.76,  -0.42,  -1.30,  -1.07,  -0.99,  -0.99,  -1.20,  -1.54
19700506,   2.92,   1.94,   1.81,   1.64,   1.20,   1.11,   0.75,   0.96,   1.16,   1.11
19700507,   1.42,   0.08,   0.88,   0.67,   0.52,   0.62,   0.21,   0.66,   0.63,   0.67
19700508,  -1.19,  -0.34,   0.11,  -0.74,  -0.54,  -0.44,  -0.34,  -0.67,  -0.49,  -0.42
19700511,  -1.71,  -1.40,  -1.29,  -0.85,  -1.47,  -0.82,  -0.95,  -0.93,  -1.09,  -1.23
19700512,  -0.81,  -0.56,  -0.52,  -0.68,  -0.82,  -1.07,  -0.73,  -0.94,  -1.19,  -0.87
19700513,  -2.58,  -1.38,  -1.40,  -2.15,  -1.74,  -1.66,  -1.42,  -1.44,  -2.00,  -1.92
19700514,  -1.67,  -1.68,  -1.53,  -0.86,  -1.88,  -1.71,  -1.68,  -1.38,  -1.55,  -1.32
19700515,   2.29,   2.37,   2.57,   2.38,   1.44,   1.17,   2.19,   1.91,   1.32,   2.04
19700518,   0.16,   0.23,   0.21,   0.50,   0.45,   0.50,  -0.03,   0.16,  -0.16,   0.30
19700519,  -2.91,  -3.01,  -1.79,  -1.72,  -2.20,  -1.26,  -1.72,  -1.61,  -2.49,  -2.17
19700520,  -4.58,  -3.56,  -1.96,  -1.83,  -2.43,  -2.25,  -2.06,  -2.45,  -3.03,  -3.15
19700521,  -2.65,  -2.16,  -2.59,  -1.21,  -2.39,  -1.74,  -1.97,  -1.06,  -2.25,  -2.70
19700522,  -1.20,  -0.49,   0.14,  -0.63,  -0.47,   0.12,  -0.38,  -0.14,   0.56,  -0.48
19700525,  -4.86,  -5.15,  -2.74,  -3.11,  -3.21,  -3.23,  -3.71,  -2.96,  -2.46,  -3.55
19700526,  -0.44,  -1.19,  -0.76,  -1.35,  -0.89,  -1.10,  -1.27,  -1.88,  -1.31,  -1.41
19700527,   9.43,   8.94,   6.00,   5.18,   4.76,   4.77,   5.18,   4.03,   4.79,   6.30
19700528,   3.76,   3.95,   2.27,   2.78,   2.70,   2.20,   2.67,   2.12,   2.65,   3.07
19700529,   3.50,   3.13,   3.10,   2.94,   2.61,   2.57,   2.45,   2.01,   3.04,   3.16
19700601,   2.93,   1.61,   1.84,   1.89,   2.28,   1.68,   0.76,   0.70,   2.39,   2.57
19700602,   2.63,  -0.45,  -0.03,   0.47,   0.30,  -0.02,  -0.02,   0.27,  -0.27,   0.25
19700603,   3.84,   2.09,   2.06,   1.63,   0.67,   1.24,   0.48,   0.47,   0.82,   1.46
19700604,  -3.48,  -2.70,  -2.20,  -2.19,  -1.97,  -1.17,  -1.03,  -0.59,  -2.14,  -0.98
19700605,  -2.85,  -2.51,  -1.94,  -2.38,  -1.87,  -1.53,  -1.84,  -1.74,  -1.04,  -1.60
19700608,   0.58,   0.45,   0.34,  -0.04,   0.69,   0.05,   0.35,   0.06,  -0.46,   0.53
19700609,   0.47,  -0.37,   0.30,   0.00,   0.03,  -0.38,   0.01,   0.02,  -0.07,   0.35
19700610,  -1.74,  -1.18,  -1.23,  -0.92,  -0.76,  -1.23,  -0.81,  -1.42,  -1.11,  -0.41
19700611,  -2.51,  -2.59,  -1.45,  -1.08,  -0.57,  -1.38,  -1.45,  -1.56,  -1.17,  -1.42
19700612,  -0.83,  -0.53,  -0.98,  -0.57,   0.09,  -0.52,  -0.87,   0.00,  -0.38,  -0.41
19700615,   0.23,   0.70,   0.94,   0.75,  -0.31,   0.40,   0.00,  -0.06,   0.66,   0.62
19700616,   3.51,   2.03,   1.86,   1.88,   2.00,   1.74,   1.74,   2.93,   2.28,   2.53
19700617,  -1.20,  -1.18,  -0.22,  -0.32,   0.34,  -0.41,  -0.74,  -0.43,   0.28,   0.16
19700618,  -0.14,  -0.13,   0.20,   0.54,   0.40,   0.63,   0.90,   0.55,   0.44,   1.05
19700619,   0.58,   0.69,  -0.18,   0.71,   0.69,   1.21,   0.52,   0.62,   0.75,   0.82
19700622,  -2.79,  -1.92,  -0.98,  -0.76,  -0.14,  -0.52,  -0.43,  -0.65,  -0.23,  -0.93
19700623,  -4.65,  -3.93,  -3.20,  -2.63,  -1.85,  -1.80,  -2.94,  -3.00,  -1.65,  -1.99
19700624,  -1.64,  -1.58,  -1.74,  -1.53,  -1.78,  -0.97,  -0.76,  -1.02,  -1.16,  -0.85
19700625,  -0.52,  -0.35,  -0.04,   0.04,  -0.36,   0.07,   0.09,   0.52,  -0.30,  -0.11
19700626,  -2.50,  -1.19,  -0.64,  -1.10,  -0.75,  -1.32,  -0.47,  -0.78,  -0.33,  -0.89
19700629,  -1.32,  -1.01,  -1.07,  -0.71,  -1.10,  -0.80,  -0.83,  -0.74,  -0.58,  -0.98
19700630,  -1.11,  -0.49,  -0.63,  -0.15,  -0.22,   0.03,  -1.22,   0.24,   0.07,  -0.29
19700701,   0.00,  -0.57,  -0.44,  -0.55,  -0.70,   0.02,   0.76,   0.92,   0.37,   0.63
19700702,  -1.60,  -0.75,  -0.28,  -0.52,  -0.21,  -0.13,  -0.30,  -0.39,   0.17,  -0.09
19700706,  -3.66,  -1.78,  -1.87,  -1.48,  -1.70,  -1.64,  -2.04,  -1.52,  -0.93,  -1.21
19700707,  -1.88,  -1.34,  -1.25,  -0.55,  -0.25,  -0.70,  -0.56,  -0.76,  -1.03,  -1.28
19700708,   5.13,   2.44,   1.83,   2.14,   2.28,   2.53,   2.79,   2.55,   2.20,   1.85
19700709,   2.30,   2.37,   2.24,   1.82,   1.39,   1.45,   1.34,   1.86,   1.55,   1.53
19700710,   0.19,   0.40,   0.17,   0.69,   0.55,   1.24,   0.27,   1.23,   0.61,   0.89
19700713,  -0.07,   0.15,  -0.24,   0.49,   0.78,   0.05,  -0.16,  -0.48,   0.23,  -0.41
19700714,  -0.78,  -0.23,  -0.04,  -1.13,   0.02,  -0.14,   0.12,   0.08,  -0.17,  -0.25
19700715,   0.81,   1.86,   0.96,   1.16,   0.86,   0.72,   0.94,   0.77,   1.10,   1.37
19700716,   0.96,   1.26,   1.52,   1.91,   1.81,   1.58,   1.87,   0.91,   1.28,   0.94
19700717,   2.86,   3.23,   2.70,   2.64,   2.50,   2.84,   1.54,   1.08,   0.98,   1.38
19700720,   0.54,   0.93,   0.55,   1.68,  -0.21,   0.35,  -0.23,   0.40,   0.17,  -0.37
19700721,  -2.03,  -1.39,  -1.01,  -1.24,  -0.83,  -0.72,  -0.80,  -1.21,  -0.95,  -0.96
19700722,   0.72,   0.89,   0.31,   0.66,   0.13,  -0.13,  -0.40,   0.44,   0.02,   0.55
19700723,   1.26,   2.31,   1.33,   1.36,   1.41,   1.10,   1.60,   0.68,   1.50,   0.84
19700724,   0.14,   0.49,   0.18,  -0.82,  -0.33,  -0.75,   0.13,  -0.29,  -0.10,  -0.32
19700727,  -0.06,   0.13,  -0.08,  -0.08,  -0.27,  -0.19,  -0.08,  -0.13,  -0.18,  -0.48
19700728,   1.37,   1.50,   1.18,   1.22,   0.05,  -0.37,  -0.09,   0.70,   0.17,   0.18
19700729,   0.73,   0.90,   0.97,   0.95,   0.81,   0.66,   0.20,   0.20,   0.06,   0.32
19700730,  -0.19,   0.06,  -0.13,   0.23,   0.22,   0.27,   0.21,   0.07,  -0.08,  -0.19
19700731,  -0.61,   0.27,   0.32,  -0.41,  -0.02,   0.08,   0.21,   0.16,  -0.48,  -0.28
19700803,  -1.19,  -1.67,  -1.55,  -1.45,  -1.05,  -1.21,  -1.24,  -1.23,  -1.07,  -1.10
19700804,   0.56,   0.44,   0.47,   0.53,   0.20,   0.36,   0.39,   0.15,  -0.01,  -0.20
19700805,  -0.82,  -0.63,   0.15,   0.20,   0.07,  -0.13,   0.38,  -0.27,  -0.02,  -0.11
19700806,  -0.41,  -0.17,  -0.04,  -0.40,   0.28,  -0.11,  -0.11,  -0.16,  -0.37,  -0.28
19700807,   0.23,   0.77,   0.61,  -0.13,   0.83,  -0.37,   0.84,   0.28,   0.20,  -0.08
19700810,  -2.34,  -2.35,  -1.45,  -1.59,  -0.98,  -1.85,  -1.89,  -0.94,  -1.05,  -1.27
19700811,  -0.61,  -1.43,  -0.73,  -0.61,  -0.71,  -0.30,  -0.20,  -0.52,  -0.54,  -0.57
19700812,  -0.67,  -0.27,  -0.08,  -0.44,  -0.23,  -1.59,   0.09,  -0.53,  -0.35,  -0.19
19700813,  -0.93,  -0.82,  -0.72,  -0.82,  -0.92,  -1.76,  -0.47,  -0.75,  -0.89,  -0.36
19700814,   0.03,   0.13,   0.24,   0.22,   0.23,   1.41,   0.09,   0.58,   0.07,   0.18
19700817,   0.19,  -0.11,  -0.09,   0.39,  -0.20,   1.05,   0.17,   0.07,   0.28,  -0.10
19700818,   1.26,   1.55,   0.97,   0.89,   1.71,   1.08,   1.18,   0.80,   0.77,   1.19
19700819,   0.74,   1.14,   1.36,   0.55,   0.79,   1.02,   1.20,   1.23,   0.68,   0.31
19700820,   0.51,   1.10,   1.01,   0.69,   1.59,   0.51,   0.61,   0.91,   0.46,   0.34
19700821,   2.85,   3.39,   2.65,   2.69,   2.21,   2.47,   2.16,   1.75,   2.13,   1.43
19700824,   5.00,   3.31,   2.37,   3.48,   3.49,   2.11,   2.13,   1.83,   1.88,   2.06
19700825,   2.38,   0.92,   1.29,   1.29,   0.52,   1.05,   0.16,  -0.41,   0.15,   0.44
19700826,   2.54,   2.13,   1.17,   0.39,   0.12,   0.04,   0.08,   0.50,   0.19,  -0.07
19700827,   0.99,  -0.08,   0.33,  -0.10,   0.08,  -0.07,  -0.39,   0.06,  -0.35,  -0.34
19700828,   3.14,   3.09,   0.71,   1.86,   1.19,   1.22,   0.58,   0.31,   1.29,   0.76
19700831,   0.48,   0.14,  -0.55,  -0.07,  -0.66,  -0.41,  -0.37,  -0.21,  -0.14,  -0.48
19700901,  -0.71,  -1.24,  -0.75,  -0.77,  -0.99,  -0.44,  -0.77,  -0.38,  -0.76,  -0.12
19700902,   1.48,  -0.07,  -0.37,   0.38,   0.07,   0.01,   0.08,   0.01,  -0.33,  -0.01
19700903,   3.11,   2.55,   2.18,   1.24,   1.80,   1.10,   0.97,   1.54,   1.60,   0.76
19700904,   3.23,   3.34,   2.50,   2.52,   0.83,   1.20,   0.64,   1.10,   0.39,   0.62
